time (sec),channel 1 (V),channel 2 (V)
-0.062799994934,-1.458,-2.5350000000000001
-0.062599994933999994,-1.458,-2.52
-0.062399994934000003,-1.458,-2.5350000000000001
-0.062199994933999997,-1.46448,-2.5500000000000003
-0.061999994933999998,-1.458,-2.5500000000000003
-0.061799994933999999,-1.46448,-2.5350000000000001
-0.061599994934000001,-1.46448,-2.5649999999999999
-0.061399994934000002,-1.4709599999999998,-2.5500000000000003
-0.061199994934000003,-1.4709599999999998,-2.5649999999999999
-0.060999994933999997,-1.46448,-2.5649999999999999
-0.060799994933999998,-1.4709599999999998,-2.5649999999999999
-0.060599994934,-1.4709599999999998,-2.5800000000000001
-0.060399994934000001,-1.4774399999999999,-2.5649999999999999
-0.060199994934000002,-1.4709599999999998,-2.5800000000000001
-0.059999994934000003,-1.4774399999999999,-2.5800000000000001
-0.059799994933999998,-1.4839199999999999,-2.5800000000000001
-0.059599994933999999,-1.4839199999999999,-2.5800000000000001
-0.059399994934,-1.4774399999999999,-2.5800000000000001
-0.059199994934000001,-1.4839199999999999,-2.5800000000000001
-0.058999994934000002,-1.4839199999999999,-2.5950000000000002
-0.058799994933999997,-1.4839199999999999,-2.5950000000000002
-0.058599994933999998,-1.4839199999999999,-2.5800000000000001
-0.058399994933999999,-1.4839199999999999,-2.5800000000000001
-0.058199994934,-1.4839199999999999,-2.6100000000000003
-0.057999994934000002,-1.4903999999999999,-2.5950000000000002
-0.057799994934000003,-1.4839199999999999,-2.6100000000000003
-0.057599994933999997,-1.4903999999999999,-2.5950000000000002
-0.057399994933999998,-1.49688,-2.6100000000000003
-0.057199994933999999,-1.4903999999999999,-2.6100000000000003
-0.056999994934000001,-1.49688,-2.625
-0.056799994934000002,-1.49688,-2.6100000000000003
-0.056599994934000003,-1.5033599999999998,-2.625
-0.056399994933999997,-1.5033599999999998,-2.6100000000000003
-0.056199994933999999,-1.49688,-2.625
-0.055999994934,-1.5033599999999998,-2.625
-0.055799994934000001,-1.5098399999999998,-2.6400000000000001
-0.055599994934000002,-1.5098399999999998,-2.625
-0.055399994933999996,-1.5033599999999998,-2.6400000000000001
-0.055199994933999998,-1.5098399999999998,-2.6400000000000001
-0.054999994933999999,-1.5098399999999998,-2.6400000000000001
-0.054799994934,-1.5098399999999998,-2.6400000000000001
-0.054599994934000001,-1.5098399999999998,-2.6400000000000001
-0.054399994933999996,-1.5163199999999999,-2.6400000000000001
-0.054199994934000004,-1.5098399999999998,-2.6400000000000001
-0.053999994933999998,-1.5163199999999999,-2.6400000000000001
-0.053799994933999999,-1.5163199999999999,-2.6550000000000002
-0.053599994934,-1.5163199999999999,-2.6550000000000002
-0.053399994934000002,-1.5163199999999999,-2.6400000000000001
-0.053199994934000003,-1.5163199999999999,-2.6400000000000001
