time (sec),channel 1 (V),channel 2 (V)
0.0026000025331999999,-1.3879999999999999,-22.5
0.0027000025331999997,-1.3919999999999999,-22.599999999999998
0.0028000025332,-1.3919999999999999,-22.599999999999998
0.0029000025331999998,-1.3919999999999999,-22.699999999999999
0.0030000025332000001,-1.3959999999999999,-22.599999999999998
0.0031000025331999999,-1.3959999999999999,-22.699999999999999
0.0032000025332000002,-1.3959999999999999,-22.699999999999999
0.0033000025332,-1.3999999999999999,-22.699999999999999
0.0034000025331999998,-1.3999999999999999,-22.799999999999997
0.0035000025332000001,-1.3999999999999999,-22.799999999999997
0.0036000025331999999,-1.3999999999999999,-22.799999999999997
0.0037000025331999998,-1.4039999999999999,-22.799999999999997
0.0038000025332,-1.4039999999999999,-22.799999999999997
0.0039000025332000003,-1.4079999999999999,-22.799999999999997
0.0040000025331999997,-1.4079999999999999,-22.799999999999997
0.0041000025331999999,-1.4079999999999999,-22.899999999999999
0.0042000025332000002,-1.4079999999999999,-22.799999999999997
0.0043000025332000005,-1.4119999999999999,-22.899999999999999
0.0044000025331999999,-1.4119999999999999,-22.899999999999999
0.0045000025332000001,-1.4159999999999999,-22.899999999999999
0.0046000025332000004,-1.4159999999999999,-23.0
0.0047000025331999998,-1.4159999999999999,-22.899999999999999
0.0048000025332,-1.4159999999999999,-23.0
0.0049000025332000003,-1.4199999999999999,-23.0
0.0050000025331999997,-1.4199999999999999,-23.0
0.0051000025332,-1.4199999999999999,-23.099999999999998
0.0052000025332000002,-1.4199999999999999,-23.099999999999998
0.0053000025331999996,-1.4239999999999999,-23.099999999999998
0.0054000025331999999,-1.4239999999999999,-23.099999999999998
0.0055000025332000001,-1.4279999999999999,-23.099999999999998
0.0056000025331999995,-1.4279999999999999,-23.099999999999998
0.0057000025332000007,-1.4279999999999999,-23.099999999999998
0.0058000025332000001,-1.4279999999999999,-23.099999999999998
0.0059000025331999995,-1.4319999999999999,-23.199999999999999
0.0060000025332000006,-1.4319999999999999,-23.199999999999999
0.0061000025332,-1.4359999999999999,-23.099999999999998
0.0062000025332000002,-1.4359999999999999,-23.199999999999999
0.0063000025332000005,-1.4399999999999999,-23.299999999999997
0.0064000025331999999,-1.4399999999999999,-23.299999999999997
0.0065000025332000002,-1.4359999999999999,-23.199999999999999
0.0066000025332000004,-1.4399999999999999,-23.299999999999997
0.0067000025331999998,-1.444,-23.399999999999999
0.0068000025332000009,-1.444,-23.299999999999997
0.0069000025332000003,-1.444,-23.399999999999999
0.0070000025331999997,-1.444,-23.399999999999999
0.0071000025332000009,-1.448,-23.299999999999997
0.0072000025332000003,-1.444,-23.399999999999999
0.0073000025331999997,-1.448,-23.5
0.0074000025332000008,-1.448,-23.5
0.0075000025332000002,-1.452,-23.5
0.0076000025331999996,-1.452,-23.5
0.0077000025332000007,-1.456,-23.5
0.0078000025332000001,-1.456,-23.5
0.0079000025331999995,-1.46,-23.5
0.0080000025332000006,-1.46,-23.5
0.0081000025332,-1.46,-23.5
0.0082000025331999994,-1.46,-23.599999999999998
0.0083000025332000005,-1.46,-23.5
0.0084000025331999999,-1.46,-23.599999999999998
0.0085000025331999993,-1.464,-23.699999999999999
0.0086000025332000005,-1.464,-23.699999999999999
0.0087000025331999999,-1.468,-23.599999999999998
0.008800002533200001,-1.468,-23.699999999999999
0.0089000025332000004,-1.472,-23.799999999999997
0.0090000025331999998,-1.472,-23.699999999999999
0.0091000025332000009,-1.472,-23.799999999999997
0.0092000025332000003,-1.472,-23.799999999999997
0.0093000025331999997,-1.472,-23.799999999999997
0.0094000025332000008,-1.472,-23.799999999999997
0.0095000025332000002,-1.476,-23.899999999999999
0.0096000025331999996,-1.476,-23.899999999999999
0.0097000025332000007,-1.48,-23.899999999999999
0.0098000025332000001,-1.476,-23.899999999999999
0.0099000025331999995,-1.484,-23.899999999999999
0.010000002533200001,-1.484,-23.899999999999999
0.0101000025332,-1.48,-23.899999999999999
0.010200002533199999,-1.484,-23.899999999999999
0.010300002533200001,-1.488,-24.0
0.0104000025332,-1.488,-24.0
0.010500002533200001,-1.488,-24.099999999999998
0.010600002533200001,-1.488,-24.099999999999998
0.0107000025332,-1.492,-24.0
0.010800002533200001,-1.492,-24.0
0.0109000025332,-1.496,-24.099999999999998
0.011000002533200002,-1.492,-24.099999999999998
0.011100002533200001,-1.496,-24.199999999999999
0.0112000025332,-1.496,-24.199999999999999
0.011300002533200001,-1.5,-24.199999999999999
0.011400002533200001,-1.5,-24.199999999999999
0.0115000025332,-1.5,-24.199999999999999
0.011600002533200001,-1.5,-24.199999999999999
0.011700002533200001,-1.5,-24.199999999999999
0.0118000025332,-1.5,-24.199999999999999
0.011900002533200001,-1.504,-24.299999999999997
0.012000002533200001,-1.504,-24.199999999999999
0.0121000025332,-1.508,-24.299999999999997
0.012200002533200001,-1.508,-24.299999999999997
0.012300002533200001,-1.512,-24.399999999999999
0.0124000025332,-1.512,-24.399999999999999
0.012500002533200001,-1.508,-24.299999999999997
0.012600002533200001,-1.512,-24.399999999999999
0.012700002533200002,-1.516,-24.399999999999999
0.012800002533200001,-1.516,-24.399999999999999
0.0129000025332,-1.516,-24.5
0.013000002533200002,-1.516,-24.399999999999999
0.013100002533200001,-1.516,-24.5
0.0132000025332,-1.516,-24.5
0.013300002533200002,-1.52,-24.5
0.013400002533200001,-1.52,-24.5
0.0135000025332,-1.52,-24.5
0.013600002533200001,-1.52,-24.5
0.013700002533200001,-1.516,-24.399999999999999
0.0138000025332,-1.52,-24.5
0.013900002533200001,-1.52,-24.5
