time (sec),channel 1 (V),channel 2 (V)
0.040496000058999997,-1.2135200000000002,-3.7439999999999998
0.040500000058999994,-1.2135200000000002,-3.7231999999999994
0.040504000058999998,-1.2135200000000002,-3.7439999999999998
0.040508000058999995,-1.2135200000000002,-3.7231999999999994
0.040512000058999999,-1.2135200000000002,-3.7231999999999994
0.040516000058999996,-1.2012,-3.7231999999999994
0.040520000059,-1.20736,-3.7231999999999994
0.040524000058999997,-1.2012,-3.7231999999999994
0.040528000058999994,-1.2012,-3.7231999999999994
0.040532000058999998,-1.2012,-3.7023999999999995
0.040536000058999995,-1.2012,-3.7023999999999995
0.040540000058999999,-1.1950400000000001,-3.7231999999999994
0.040544000058999996,-1.1950400000000001,-3.7023999999999995
0.040548000059,-1.2012,-3.6815999999999995
0.040552000058999997,-1.1950400000000001,-3.6815999999999995
0.040556000058999994,-1.1950400000000001,-3.7023999999999995
0.040560000058999998,-1.1950400000000001,-3.6815999999999995
0.040564000058999995,-1.1950400000000001,-3.6607999999999996
0.040568000058999999,-1.1950400000000001,-3.6815999999999995
0.040572000058999996,-1.1888800000000002,-3.6607999999999996
0.040576000058999993,-1.1888800000000002,-3.6607999999999996
0.040580000058999997,-1.1950400000000001,-3.6399999999999997
0.040584000058999994,-1.1888800000000002,-3.6607999999999996
0.040588000058999998,-1.1888800000000002,-3.6399999999999997
0.040592000058999995,-1.18272,-3.6399999999999997
0.040596000058999999,-1.1888800000000002,-3.6399999999999997
0.040600000058999997,-1.18272,-3.6399999999999997
0.040604000058999994,-1.18272,-3.6399999999999997
0.040608000058999998,-1.1765600000000001,-3.6399999999999997
0.040612000058999995,-1.18272,-3.6191999999999998
0.040616000058999999,-1.1765600000000001,-3.6191999999999998
0.040620000058999996,-1.1704000000000001,-3.6399999999999997
0.040624000059,-1.1704000000000001,-3.6191999999999998
0.040628000058999997,-1.1765600000000001,-3.6191999999999998
0.040632000058999994,-1.1704000000000001,-3.6191999999999998
0.040636000058999998,-1.1704000000000001,-3.5983999999999998
0.040640000058999995,-1.1704000000000001,-3.5983999999999998
0.040644000058999999,-1.1704000000000001,-3.6191999999999998
0.040648000058999996,-1.1704000000000001,-3.5983999999999998
0.040652000059,-1.1704000000000001,-3.5775999999999994
0.040656000058999997,-1.1704000000000001,-3.5775999999999994
0.040660000058999994,-1.1642399999999999,-3.5983999999999998
0.040664000058999998,-1.1642399999999999,-3.5775999999999994
0.040668000058999995,-1.1704000000000001,-3.5775999999999994
0.040672000058999999,-1.1642399999999999,-3.5775999999999994
0.040676000058999996,-1.15808,-3.5775999999999994
0.040680000058999993,-1.15808,-3.5775999999999994
0.040684000058999997,-1.15808,-3.5775999999999994
0.040688000058999994,-1.15808,-3.5775999999999994
0.040692000058999998,-1.1519200000000001,-3.5567999999999995
0.040696000058999995,-1.15808,-3.5567999999999995
0.040700000058999999,-1.1519200000000001,-3.5775999999999994
0.040704000058999996,-1.1519200000000001,-3.5567999999999995
0.040708000058999994,-1.1519200000000001,-3.5567999999999995
0.040712000058999998,-1.1519200000000001,-3.5567999999999995
0.040716000058999995,-1.1519200000000001,-3.5359999999999996
0.040720000058999999,-1.1519200000000001,-3.5567999999999995
0.040724000058999996,-1.1519200000000001,-3.5359999999999996
0.040728000059,-1.1519200000000001,-3.5359999999999996
0.040732000058999997,-1.1457600000000001,-3.5359999999999996
0.040736000058999994,-1.1519200000000001,-3.5359999999999996
0.040740000058999998,-1.1457600000000001,-3.5151999999999997
0.040744000058999995,-1.1457600000000001,-3.5151999999999997
0.040748000058999999,-1.1457600000000001,-3.5359999999999996
0.040752000058999996,-1.1457600000000001,-3.5151999999999997
0.040756000059,-1.1396000000000002,-3.5151999999999997
0.040760000058999997,-1.1396000000000002,-3.5151999999999997
0.040764000058999994,-1.1457600000000001,-3.4943999999999997
0.040768000058999998,-1.1396000000000002,-3.5151999999999997
0.040772000058999995,-1.1396000000000002,-3.4943999999999997
0.040776000058999999,-1.1396000000000002,-3.4943999999999997
0.040780000058999996,-1.13344,-3.5151999999999997
0.040784000058999993,-1.13344,-3.4943999999999997
0.040788000058999997,-1.1396000000000002,-3.4943999999999997
0.040792000058999994,-1.13344,-3.4943999999999997
0.040796000058999998,-1.1272800000000001,-3.4943999999999997
0.040800000058999995,-1.13344,-3.4943999999999997
0.040804000058999999,-1.1272800000000001,-3.4943999999999997
0.040808000058999996,-1.1272800000000001,-3.4943999999999997
0.040812000058999993,-1.1272800000000001,-3.4943999999999997
0.040816000058999997,-1.1272800000000001,-3.4943999999999997
0.040820000058999995,-1.1272800000000001,-3.4735999999999994
0.040824000058999999,-1.1272800000000001,-3.4735999999999994
0.040828000058999996,-1.1272800000000001,-3.4943999999999997
0.040832000059,-1.1272800000000001,-3.4735999999999994
0.040836000058999997,-1.1272800000000001,-3.4735999999999994
0.040840000058999994,-1.1272800000000001,-3.4527999999999999
0.040844000058999998,-1.1211200000000001,-3.4735999999999994
0.040848000058999995,-1.1211200000000001,-3.4527999999999999
0.040852000058999999,-1.1211200000000001,-3.4735999999999994
0.040856000058999996,-1.1211200000000001,-3.4527999999999999
0.040860000059,-1.1211200000000001,-3.4735999999999994
0.040864000058999997,-1.1211200000000001,-3.4527999999999999
0.040868000058999994,-1.11496,-3.4319999999999995
